zpid,city,state,homeStatus,streetAddress,zipcode,bedrooms,bathrooms,price,longitude,latitude,homeType,lotSize,zestimate,rentZestimate,dateSoldString,taxAssessedValue,taxAssessedYear,parcelId
55195875,Columbia,SC,OTHER,2 Night Hawk Way,29229,4.0,3.0,359600,-80.894135,34.176186,SINGLE_FAMILY,7725.0,359600.0,2149,2006-11-14,,2022.0,232030605
28966818,Haltom City,TX,OTHER,4613 Norvell Dr,76117,3.0,2.0,294800,-97.26305,32.830795,SINGLE_FAMILY,10062.0,294800.0,1999,2017-10-03,280237.0,2023.0,00720356
39777148,Ringwood,NJ,OTHER,418 Lakeview Ave,07456,,,468100,-74.25753,41.09819,SINGLE_FAMILY,5410.0,468100.0,3499,1996-08-13,249900.0,2023.0,1100851000000023
21385741,La Mirada,CA,OTHER,15123 Aloe Dr,90638,3.0,2.0,882700,-118.00877,33.91351,SINGLE_FAMILY,8725.0,882700.0,3528,2013-09-26,525496.0,2023.0,8038025019
50613618,Elkhart,IN,OTHER,206 W Simonton St,46514,3.0,2.0,174100,-85.97949,41.699005,SINGLE_FAMILY,7405.0,174100.0,1564,,139600.0,2023.0,200232334021000027
31925611,Putnam Valley,NY,OTHER,726 Peekskill Hollow Rd,10579,3.0,1.5,558900,-73.80032,41.399124,SINGLE_FAMILY,94088.0,558900.0,5394,2004-11-05,505200.0,2023.0,37280063315
132220797,Raleigh,NC,OTHER,1941 Clark Ave APT 109,27605,,1.0,431500,-78.65744,35.788765,SINGLE_FAMILY,,431500.0,2700,2007-07-20,271986.0,2023.0,1704125198005
58755033,Washington,DC,OTHER,4007 Connecticut Ave NW APT 514,20008,0.0,1.0,238700,-77.06139,38.94137,CONDO,145.0,238700.0,1599,2004-11-02,219190.0,2023.0,22352122
80502280,Easley,SC,OTHER,130 Red Maple Cir,29642,4.0,4.0,438700,-82.54606,34.786644,SINGLE_FAMILY,19962.0,438700.0,2500,2017-12-14,12490.0,2022.0,1870401031
37952478,Lyndhurst,NJ,OTHER,758 Teneyck Ave,07071,4.0,4.0,961100,-74.11753,40.7986,SINGLE_FAMILY,5401.0,961100.0,4900,2018-10-29,783200.0,2023.0,3200222000000023
18244970,Chico,CA,OTHER,751 Brookwood Way,95926,3.0,1.5,396300,-121.808044,39.75566,SINGLE_FAMILY,7840.0,396300.0,1800,2001-05-11,188284.0,2023.0,045660021000
22856344,Moundsville,WV,OTHER,35 Hickory Ave,26041,3.0,1.0,119400,-80.73432,39.92897,SINGLE_FAMILY,871.0,119400.0,1007,2019-02-27,36120.0,2023.0,2511050017000000
33257693,Kensington,OH,OTHER,11269 State Route 9,44427,5.0,1.0,114300,-80.956955,40.73366,SINGLE_FAMILY,9844.0,114300.0,1110,2020-01-17,26260.0,2022.0,2703701000
50593557,Elkhart,IN,OTHER,58221 Benham Ave,46517,4.0,1.0,224500,-85.97017,41.649063,SINGLE_FAMILY,26528.0,224500.0,1500,2013-05-02,147700.0,2023.0,200620202013000009
19015443,Bakersfield,CA,OTHER,1609 Langston Ct,93307,3.0,3.0,325300,-119.02048,35.30688,SINGLE_FAMILY,6969.0,325300.0,1994,1993-12-10,130662.0,2023.0,41219250
38611480,Everett,WA,SOLD,1427 100th Street SW UNIT 40,98204,3.0,2.0,185000,-122.25388,47.91012,MANUFACTURED,,202000.0,632,2021-07-09,193700.0,2023.0,00960003604000
331687821,Overland Park,KS,SOLD,10400 W 174th St,66221,5.0,4.0,0,-94.70679,38.8122,SINGLE_FAMILY,14200.0,948900.0,5721,2021-11-10,106582.0,2023.0,NP848900000294
73781717,New Orleans,LA,RECENTLY_SOLD,725 Greenwood Dr,70124,3.0,2.0,0,-90.108894,29.987339,SINGLE_FAMILY,5002.0,402100.0,2112,2024-03-13,35060.0,2022.0,206306018
13835627,Littleton,CO,OTHER,8026 S Ammons St,80128,6.0,4.0,854200,-105.08743,39.570587,SINGLE_FAMILY,9583.0,854200.0,3999,2015-05-21,44482.0,2023.0,5935309011
348069431,Cartersville,GA,SOLD,25 Running Ter #18,30121,5.0,4.0,538602,-84.81186,34.24587,SINGLE_FAMILY,15245.0,590200.0,2446,2022-06-24,,,0069Q0001197
22152382,Tulsa,OK,SOLD,5845 S Maplewood Ave,74135,3.0,2.0,312500,-95.90676,36.07783,SINGLE_FAMILY,11020.0,330800.0,1980,2023-05-08,17350.0,2023.0,31375933403960
5005062,Godfrey,IL,FOR_SALE,5220 Foxglove Ln,62035,3.0,4.0,425000,-90.213936,38.93883,SINGLE_FAMILY,15376.0,412200.0,3401,2015-09-30,103680.0,2022.0,242012703302013
197990358,Sunset Beach,NC,OTHER,1602 Canal Dr,28468,4.0,2.0,971500,-78.49335,33.872025,SINGLE_FAMILY,43560.0,971500.0,4561,2008-07-25,641410.0,2023.0,256MA076
10009672,Skippack,PA,SOLD,3928 Seneca Ct,19474,3.0,3.0,350000,-75.40302,40.22285,TOWNHOUSE,1306.0,380900.0,2550,2023-04-27,125120.0,2023.0,510003034569
51763380,Fairfax,VA,OTHER,3611 Elderberry Pl,22033,4.0,4.0,977900,-77.41158,38.895966,SINGLE_FAMILY,10890.0,977900.0,4500,2018-02-28,823960.0,2023.0,0353050067
43389901,Cocoa,FL,OTHER,7220 Carlowe Ave,32927,3.0,2.0,291900,-80.79401,28.485909,SINGLE_FAMILY,10018.0,291900.0,2060,2015-04-09,113040.0,2023.0,233514JZ32632
